project_name,SKU,ASIN,头程单价,FOB单价
金石,2P Long-Medium-Pink,B0F6XNHJLX,0.73,8.33
金石,2P Long-Small-Beige,B0F6XK9ZB7,0.73,8.33
金石,2P Long-Small-Dark Grey,B0F6XY9D45,0.73,8.33
金石,2P Long-Small-Green,B0F8B9QCYJ,0.73,8.33
金石,2P Long-Small-Light Grey,B0F6XJCP88,0.73,8.33
金石,2P Long-Small-Navy Blue,B0F6XZLTQD,0.73,8.33
金石,2P Long-Small-Pink,B0F6W9W91H,0.73,8.33
金石,2P Long-X-Large-Beige,B0F6XND4VX,0.73,8.33
金石,2P Long-X-Large-Dark Grey,B0F6XVFZQ9,0.73,8.33
金石,2P Long-X-Large-Green,B0F8BBKWBG,0.73,8.33
金石,2P Long-X-Large-Light Grey,B0F6XV2SP6,0.73,8.33
金石,2P Long-X-Large-Navy Blue,B0F6WBQQPT,0.73,8.33
金石,2P Long-X-Large-Pink,B0F6XTK7W1,0.73,8.33
花睡,4P-T-Snow White,B0DHVGVDXH,0.75,7.15
花睡,4P-T-Navy Blue,B0DHVBF1QN,0.75,7.15
花睡,4P-T-Medium Grey,B0DHVH8DRH,0.75,7.15
花睡,4P-T-Light Purple,B0DHVHMFNG,0.75,7.15
花睡,4P-T-Earthy Khaki,B0DHVGKP9X,0.75,7.15
花睡,4P-T-Dusty Rose,B0DHVH1J94,0.75,7.15
花睡,4P-T-Chocolate Brown,B0DHVH771R,0.75,7.15
花睡,4P-T-Bright Green,B0DHVHBZ2V,0.75,7.15
花睡,4P-T-Blush Pink,B0DHVHGCVZ,0.75,7.15
花睡,4P-T-Azure Blue,B0DHVK28R4,0.75,7.15
花睡,4P-Q-Snow White,B0DHVGTKF6,1.06,8.8
花睡,4P-Q-Navy Blue,B0DHVGZJ1R,1.06,8.8
花睡,4P-Q-Medium Grey,B0DHVGZLCV,1.06,8.8
花睡,4P-Q-Light Purple,B0DHVGFPX6,1.06,8.8
花睡,4P-Q-Earthy Khaki,B0DHVHWXZ2,1.06,8.8
花睡,4P-Q-Dusty Rose,B0DHVHNBLG,1.06,8.8
花睡,4P-Q-Chocolate Brown,B0DHVHXC9P,1.06,8.8
花睡,4P-Q-Bright Green,B0DHVFHP2J,1.06,8.8
花睡,4P-Q-Blush Pink,B0DHVGGL71,1.06,8.8
花睡,4P-Q-Azure Blue,B0DHVHPW7H,1.06,8.8
花睡,4P-K-Snow White,B0DHVFRLYX,1.25,10.04
花睡,4P-K-Navy Blue,B0DHVFVTG9,1.25,10.04
花睡,4P-K-Medium Grey,B0DHVG5LG8,1.25,10.04
花睡,4P-K-Light Purple,B0DHVFVYGX,1.25,10.04
花睡,4P-K-Earthy Khaki,B0DHVHFLRF,1.25,10.04
花睡,4P-K-Dusty Rose,B0DHVJ9SJR,1.25,10.04
花睡,4P-K-Chocolate Brown,B0DHVJWK34,1.25,10.04
花睡,4P-K-Bright Green,B0DHVFPNM5,1.25,10.04
花睡,4P-K-Blush Pink,B0DHVGV328,1.25,10.04
花睡,4P-K-Azure Blue,B0DHVH16VP,1.25,10.04
花睡,4P-F-Snow White,B0DHVGZ68V,0.92,8.25
花睡,4P-F-Navy Blue,B0DHVGVFRP,0.92,8.25
花睡,4P-F-Medium Grey,B0DHVL61H2,0.92,8.25
花睡,4P-F-Light Purple,B0DHVHN6SH,0.92,8.25
花睡,4P-F-Earthy Khaki,B0DHVJ7XB2,0.92,8.25
花睡,4P-F-Dusty Rose,B0DHVG5GJB,0.92,8.25
